ce_average_threads,ce_comp_threads,lf_threads,videoBufferLength,ce,le,lm,ex,total
1,1,16,500,467.52107214927673,1.9164767265319824,0.018573522567749023,49.83112931251526,519.2878699302673

1,3,16,500,459.9842381477356,1.716508150100708,0.018574953079223633,48.010451316833496,509.729772567749

1,5,16,500,446.62813115119934,1.8129642009735107,0.018575429916381836,47.728522539138794,496.188193321228

1,7,16,500,444.04621505737305,1.7133538722991943,0.018571138381958008,48.12469673156738,493.9028367996216

1,9,16,500,445.15679240226746,1.7173383235931396,0.018571853637695312,47.0607123374939,493.9534149169922

1,11,16,500,444.5203721523285,1.715585470199585,0.01918816566467285,47.851025342941284,494.10678791999817
1,13,16,500,440.0284538269043,1.712723731994629,0.018572568893432617,48.624377727508545,490.3847472667694
1,15,16,500,443.30840396881104,1.812037706375122,0.019077062606811523,48.046432971954346,493.18661069869995
3,1,16,500,257.5791096687317,1.6140599250793457,0.06490278244018555,48.03480863571167,307.2935025691986
3,3,16,500,240.81983351707458,1.7168669700622559,0.018574237823486328,48.00492262840271,290.5608174800873
3,5,16,500,234.60104489326477,1.71358060836792,0.019191980361938477,47.0653657913208,283.39918327331543
3,7,16,500,231.0841522216797,1.7252328395843506,0.01857280731201172,47.96304178237915,280.7909996509552
3,9,16,500,229.4182415008545,1.6156642436981201,0.01919269561767578,47.74073004722595,278.79382848739624
3,11,16,500,233.04006028175354,1.713529109954834,0.01981067657470703,49.363558530807495,284.13757729530334
3,13,16,500,230.24800848960876,1.813981056213379,0.01857447624206543,48.04185342788696,280.1230351924896
3,15,16,500,228.12239599227905,1.8146648406982422,0.018570661544799805,47.65617775917053,277.61242723464966
5,1,16,500,194.06547665596008,1.7124240398406982,0.01857471466064453,47.71499419212341,243.51146960258484
5,3,16,500,186.85590434074402,1.7167038917541504,0.01919388771057129,50.247997522354126,238.83979964256287
5,5,16,500,172.01590752601624,1.7396504878997803,0.019193172454833984,47.15901827812195,220.9337694644928
5,7,16,500,174.2221553325653,1.7137291431427002,0.01857471466064453,49.68148350715637,225.63656210899353
5,9,16,500,170.49294638633728,1.7160654067993164,0.018581867218017578,47.145153284072876,219.3727469444275
5,11,16,500,166.0673062801361,1.8162899017333984,0.02104926109313965,48.90656566619873,216.81244897842407
5,13,16,500,168.5601692199707,1.8135244846343994,0.019188880920410156,48.23153734207153,218.62441992759705
5,15,16,500,169.45064163208008,1.715850830078125,0.01857137680053711,48.14476418495178,219.32982802391052
7,1,16,500,168.9567699432373,1.7141773700714111,0.01804208755493164,48.17491436004639,218.86451959609985
7,3,16,500,153.5096082687378,1.7154076099395752,0.018381118774414062,48.52867841720581,203.7726776599884
7,5,16,500,149.38286972045898,1.8716111183166504,0.018718719482421875,47.54488015174866,198.8180797100067
7,7,16,500,140.74053835868835,1.717233657836914,0.01834845542907715,47.413137674331665,189.889258146286
7,9,16,500,142.7735824584961,1.7159614562988281,0.01866936683654785,48.20483374595642,192.71366667747498
7,11,16,500,141.20397901535034,1.614814281463623,0.01869344711303711,47.509334564208984,190.3474407196045
7,13,16,500,140.79828214645386,1.6479592323303223,0.018903493881225586,47.92923045158386,190.39499521255493
7,15,16,500,139.12307167053223,1.8159129619598389,0.018663644790649414,48.41319155693054,189.37145853042603
9,1,16,500,152.47075009346008,1.7165119647979736,0.018686294555664062,48.68415355682373,202.89010190963745
9,3,16,500,135.30654764175415,1.6140191555023193,0.018573522567749023,46.81100392341614,183.75014424324036
9,5,16,500,126.85835480690002,1.713343858718872,0.019195079803466797,46.04308319091797,174.63397693634033
9,7,16,500,123.66255593299866,1.655970573425293,0.01919245719909668,46.180424451828,171.51876258850098
9,9,16,500,123.30539226531982,1.6135380268096924,0.01857304573059082,45.945268392562866,170.88277173042297
9,11,16,500,121.3862714767456,1.6149647235870361,0.019191980361938477,46.228816747665405,169.24986362457275
9,13,16,500,121.0308883190155,1.7137668132781982,0.019191741943359375,46.68003845214844,169.4438853263855
9,15,16,500,122.28006196022034,1.6335091590881348,0.019192218780517578,45.96136498451233,169.89412832260132
11,1,16,500,138.3334081172943,1.6140925884246826,0.018573284149169922,46.13780760765076,186.10450100898743
11,3,16,500,123.70732116699219,1.615760087966919,0.018574237823486328,46.11923551559448,171.46089100837708
